,Suburb,Latitude,Longitude,SSC_Code
215,"Elderslie, Sydney",-34.0590289,150.715403,SSC11391
216,"Elizabeth Bay, Sydney",-33.8716908,151.2282875,SSC11395
217,"Elizabeth Hills, Sydney",-33.9002288,150.8487942,SSC11397
218,"Ellis Lane, Sydney",-34.034956,150.6732584,SSC11405
219,"Elvina Bay, Sydney",-33.6377531,151.2802489,SSC11410
220,"Emerton, Sydney",-33.7477024,150.8043608,SSC11413
221,"Emu Heights, Sydney",-33.7372235,150.6511051,SSC11417
222,"Emu Plains, Sydney",-33.7483333,150.6677778,SSC11418
223,"Enfield, Sydney",-33.8900628,151.0959145,SSC11421
224,"Engadine, Sydney",-34.0650134,151.0138225,SSC11422
225,"Englorie Park, Sydney",-34.0806577,150.7950629,SSC11423
226,"Enmore, Sydney",-33.8996968,151.170986,SSC11425
227,"Epping, Sydney",-33.7718546,151.0745367,SSC11428
228,"Ermington, Sydney",-33.8101156,151.0600559,SSC11435
229,"Erskine Park, Sydney",-33.8086111,150.8013889,SSC11438
230,"Erskineville, Sydney",-33.9021718,151.1859881,SSC11439
231,"Eschol Park, Sydney",-34.0316667,150.8011111,SSC11441
232,"Eveleigh, Sydney",-33.895,151.1913889,SSC11471
233,"Fairfield East, Sydney",-33.8747423,150.9721298,SSC11478
234,"Fairfield Heights, Sydney",-33.8662814,150.9395106,SSC11479
235,"Fairfield West, Sydney",-33.8689308,150.9243383,SSC11480
236,"Fairfield, Sydney",-33.8728065,150.9523529,SSC11477
237,"Fairlight, Sydney",-33.7938789,151.2741471,SSC11482
238,"Fiddletown, Sydney",-33.5569323,151.0844279,SSC11513
239,"Five Dock, Sydney",-33.8690024,151.1290231,SSC11530
240,"Forest Glen, Sydney",-33.5483333,151.0177778,SSC11542
241,"Forest Lodge, Sydney",-33.8805556,151.1783333,SSC11546
242,"Forestville, Sydney",-33.7620891,151.2150889,SSC11548
243,"Freemans Reach, Sydney",-33.5632311,150.8024693,SSC11564
244,"Frenchs Forest, Sydney",-33.7479954,151.2292718,SSC11568
245,"Freshwater, Sydney",-33.7750987,151.2844815,SSC11569
246,"Galston, Sydney",-33.6467002,151.0642498,SSC11582
247,"Georges Hall, Sydney",-33.9101113,150.9879924,SSC11601
248,"Gilead, Sydney",-34.115,150.7844444,SSC11617
249,"Girraween, Sydney",-33.7983305,150.9427707,SSC11636
250,"Gladesville, Sydney",-33.8275,151.1263889,SSC11638
251,"Glebe, Sydney",-33.8777782,151.1862377,SSC11641
252,"Gledswood Hills, Sydney",-34.0102826,150.78002,SSC11642
253,"Glen Alpine, Sydney",-34.09,150.7844444,SSC11645
254,"Glendenning, Sydney",-33.7483333,150.8511111,SSC11659
255,"Glenfield, Sydney",-33.9733455,150.8957217,SSC11664
256,"Glenhaven, Sydney",-33.7027383,151.0008049,SSC11667
257,"Glenmore Park, Sydney",-33.7887972,150.669496,SSC11670
258,"Glenorie, Sydney",-33.5658885,150.9927835,SSC11673
259,"Glenwood, Sydney",-33.7331483,150.928232,SSC11682
260,"Glossodia, Sydney",-33.5334431,150.7853962,SSC11684
261,"Gordon, Sydney",-33.7553899,151.1518099,SSC11718
262,"Granville, Sydney",-33.8345097,151.0060111,SSC11738
263,"Grasmere, Sydney",-34.0579584,150.6707384,SSC11739
264,"Grays Point, Sydney",-34.0591451,151.0786995,SSC11743
265,"Great Mackerel Beach, Sydney",-33.591505,151.2988852,SSC11744
266,"Green Valley, Sydney",-33.9024601,150.8674187,SSC11756
267,"Greenacre, Sydney",-33.9022902,151.058546,SSC11757
268,"Greendale, Sydney",-33.9150012,150.6677734,SSC11759
269,"Greenfield Park, Sydney",-33.8752778,150.8919444,SSC11761
270,"Greenhills Beach, Sydney",-34.0360657,151.1632914,SSC11764
271,"Greenwich, Sydney",-33.8300104,151.1855621,SSC11770
272,"Gregory Hills, Sydney",-34.0276672,150.7761923,SSC11774
273,"Greystanes, Sydney",-33.8262187,150.9414378,SSC11781
274,"Grose Vale, Sydney",-33.5764147,150.6552959,SSC11785
275,"Grose Wold, Sydney",-33.6030113,150.6745178,SSC11786
276,"Guildford West, Sydney",-33.8483084,150.9657421,SSC11791
277,"Guildford, Sydney",-33.8561049,150.9939232,SSC11790
278,"Gymea Bay, Sydney",-34.0522918,151.0970783,SSC11827
279,"Gymea, Sydney",-34.0341447,151.085653,SSC11826
280,"Haberfield, Sydney",-33.8794325,151.1391605,SSC11828
281,"Hammondville, Sydney",-33.9511518,150.9608619,SSC11844
282,"Harrington Park, Sydney",-34.0247325,150.7422344,SSC11859
283,"Harris Park, Sydney",-33.8224029,151.0117558,SSC11860
284,"Hassall Grove, Sydney",-33.7316667,150.8344444,SSC11866
285,"Haymarket, Sydney",-33.8814408,151.2044524,SSC11877
286,"Heathcote, Sydney",-34.0848266,151.007392,SSC11883
287,"Hebersham, Sydney",-33.7455739,150.8253839,SSC11886
288,"Heckenberg, Sydney",-33.9077778,150.8913889,SSC11887
289,"Henley, Sydney",-33.8423815,151.1360364,SSC11891
290,"Hillsdale, Sydney",-33.9529465,151.2274123,SSC11911
291,"Hinchinbrook, Sydney",-33.9159661,150.8645957,SSC11915
292,"Hobartville, Sydney",-33.604718,150.7436152,SSC11917
293,"Holroyd, Sydney",-33.8297155,150.9974898,SSC11925
294,"Holsworthy, Sydney",-33.9597307,150.9502719,SSC11926
295,"Homebush West, Sydney",-33.8619802,151.0665026,SSC11930
296,"Homebush, Sydney",-33.860451,151.0806118,SSC11929
297,"Horningsea Park, Sydney",-33.9460804,150.8432271,SSC11935
298,"Hornsby Heights, Sydney",-33.6589881,151.098374,SSC11937
299,"Hornsby, Sydney",-33.6980331,151.0957334,SSC11936
300,"Horsley Park, Sydney",-33.8387723,150.8484629,SSC11943
301,"Hoxton Park, Sydney",-33.9294022,150.8560164,SSC11951
302,"Hunters Hill, Sydney",-33.8336171,151.1449446,SSC11954
303,"Huntingwood, Sydney",-33.797973,150.881592,SSC11957
304,"Huntleys Cove, Sydney",-33.8383333,151.1375,SSC11960
305,"Huntleys Point, Sydney",-33.8422131,151.1419664,SSC11961
306,"Hurlstone Park, Sydney",-33.91,151.1286111,SSC11963
307,"Hurstville Grove, Sydney",-33.9775526,151.0929579,SSC11965
308,"Hurstville, Sydney",-33.960707,151.1003611,SSC11964
309,"Illawong, Sydney",-33.9973348,151.0429726,SSC11974
310,"Ingleburn, Sydney",-33.9983333,150.8511111,SSC11978
311,"Ingleside, Sydney",-33.6882558,151.2525009,SSC11979
312,"Jamisontown, Sydney",-33.7679769,150.674815,SSC12000
313,"Jannali, Sydney",-34.0163159,151.0658096,SSC12001
314,"Jordan Springs, Sydney",-33.7250215,150.7271271,SSC12042
315,"Kangaroo Point, Sydney",-34.002073,151.0967132,SSC12060
316,"Kareela, Sydney",-34.0157553,151.0812662,SSC12073
317,"Kearns, Sydney",-34.0233333,150.8011111,SSC12079
318,"Kellyville Ridge, Sydney",-33.7025,150.9186111,SSC12089
319,"Kellyville, Sydney",-33.7158272,150.954993,SSC12088
320,"Kemps Creek, Sydney",-33.8721433,150.7938975,SSC12094
321,"Kensington, Sydney",-33.9117191,151.2195058,SSC12099
322,"Kenthurst, Sydney",-33.6436678,150.9761716,SSC12100
323,"Kentlyn, Sydney",-34.0591667,150.8697222,SSC12101
324,"Killara, Sydney",-33.7660606,151.1601121,SSC12129
